threshold,precision,recall,f1,f2,fpr,specificity,tp,fp,tn,fn
0.05,0.21621621621621623,0.36363636363636365,0.27118644067796616,0.32,0.38666666666666666,0.6133333333333333,16,58,92,28
0.060000000000000005,0.2222222222222222,0.36363636363636365,0.27586206896551724,0.32258064516129037,0.37333333333333335,0.6266666666666667,16,56,94,28
0.07,0.22535211267605634,0.36363636363636365,0.2782608695652174,0.32388663967611336,0.36666666666666664,0.6333333333333333,16,55,95,28
0.08000000000000002,0.23880597014925373,0.36363636363636365,0.2882882882882883,0.3292181069958848,0.34,0.66,16,51,99,28
0.09000000000000001,0.24615384615384617,0.36363636363636365,0.29357798165137616,0.33195020746887965,0.32666666666666666,0.6733333333333333,16,49,101,28
0.1,0.25806451612903225,0.36363636363636365,0.3018867924528302,0.3361344537815126,0.30666666666666664,0.6933333333333334,16,46,104,28
0.11000000000000001,0.25806451612903225,0.36363636363636365,0.3018867924528302,0.3361344537815126,0.30666666666666664,0.6933333333333334,16,46,104,28
0.12000000000000001,0.26229508196721313,0.36363636363636365,0.30476190476190484,0.3375527426160338,0.3,0.7,16,45,105,28
0.13,0.26666666666666666,0.36363636363636365,0.30769230769230765,0.33898305084745767,0.29333333333333333,0.7066666666666667,16,44,106,28
0.14,0.25862068965517243,0.3409090909090909,0.29411764705882354,0.3205128205128205,0.2866666666666667,0.7133333333333334,15,43,107,29
0.15000000000000002,0.2631578947368421,0.3409090909090909,0.297029702970297,0.32188841201716734,0.28,0.72,15,42,108,29
0.16000000000000003,0.2777777777777778,0.3409090909090909,0.3061224489795918,0.32608695652173914,0.26,0.74,15,39,111,29
0.17000000000000004,0.2830188679245283,0.3409090909090909,0.3092783505154639,0.32751091703056767,0.25333333333333335,0.7466666666666667,15,38,112,29
0.18000000000000005,0.28846153846153844,0.3409090909090909,0.31249999999999994,0.3289473684210526,0.24666666666666667,0.7533333333333333,15,37,113,29
0.19,0.27450980392156865,0.3181818181818182,0.2947368421052632,0.30837004405286345,0.24666666666666667,0.7533333333333333,14,37,113,30
0.2,0.27450980392156865,0.3181818181818182,0.2947368421052632,0.30837004405286345,0.24666666666666667,0.7533333333333333,14,37,113,30
0.21000000000000002,0.2857142857142857,0.3181818181818182,0.30107526881720426,0.3111111111111111,0.23333333333333334,0.7666666666666667,14,35,115,30
